"ImageID","idiom","rating","final_nouns","count_all_nouns","nouns_present_GPT","count_nouns_present_GPT","nouns_present_dreamlike","count_nouns_present_dreamlike","idiom_nouns","idiom_in_gpt","idiom_in_dreamlike","model","model_ratio","figure of speech","category","meaning","physical_attribution_meaning","prompt","model_text","text"
"dreamlike_P19_19_5.jpg","at sea","0.4","sea","1.0","sea","1.0","sea","1.0","sea","total","total","dreamlike","1.0","metaphor","nature","It means to be confused or not understand something at all","yes","P3","no_model","2.0"
"dreamlike_P23_23_14.jpg","old school","1.7000000000000002","scene, item","2.0","scene, item","2.0","scene, item","2.0","school","none","none","dreamlike","1.0","metaphor","object","old fashioned ideas or approach compared to current trends","no","P7","Llama3","2.0"
"GPT_P22_22-26.jpg","in a nutshell","5.6000000000000005","small, wooden, shell, hazelnut, scatter, shell, scatter, foliage","8.0","small, wooden, shell, hazelnut, scatter, shell, scatter, foliage","8.0","small, wooden, shell, hazelnut, scatter, foliage","6.0","nutshell","none","none","DallE3","1.0","metaphor","food","used when you are stating the main facts about something in a short clear way","no","P6","Llama3 + GPT","0.0"
"dreamlike_P20_20_50.jpg","lame duck","0.2","duck, person, thing, mayor, office","5.0","duck, person, thing, office","4.0","duck, person, mayor, office","4.0","duck","total","total","dreamlike","0.8","metaphor","animal","a person or thing that is disabled, helpless, ineffective, or inefficient","yes","P4","no_model","2.0"
"dreamlike_P01_01_2-02.jpg","on / to hand","0.3","hand","1.0","hand","1.0",,"1.0","hand","total",,"dreamlike","1.0","metonymy","body","present, nearby, close, or easily accessible","no","P1","no_model","0.0"
"dreamlike_P20_20_8.jpg","white paper","0.3","white, paper, week, country, report, subject, plan","7.0","white, paper, report","3.0","white, paper, subject","3.0","white, paper","total","total","dreamlike","0.4285714285714285","metonymy","object","in various countries, a government report on a particular subject giving information and details of future planned laws","yes","P4","no_model","2.0"
"dreamlike_P12_12_4.jpg","in hand","0.5","hand","1.0","hand","1.0","hand","1.0","hand","total","total","dreamlike","1.0","metonymy","body","if you have a particular situation in hand, you are in control of it","no","P2","no_model","0.0"
"dreamlike_P22_22_12.jpg","cup of tea","3.3000000000000003","warm, steam, cup, tea, lip, element, book, soft, blanket","9.0","warm, steam, cup, book, soft, blanket","6.0","cup, tea, lip, element, soft, blanket","6.0","cup, tea","partial","total","dreamlike","0.6666666666666666","metaphor","object","if it is “your cup of tea” it is something that you prefer","no","P6","Llama3","0.0"
"dreamlike_P19_19_6.jpg","in the can","0.3","can, film, material, record","4.0","can, film, material, record","4.0","can","1.0","can","total","total","dreamlike","0.25","metonymy","object","(especially of filmed or recorded material) to be completed and ready for use","no","P3","no_model","2.0"
"dreamlike_P01_01_45-02.jpg","red herring","1.3","red, herring","2.0","red","1.0","red","1.0","red, herring","partial","partial","dreamlike","0.5",,"animal","an unimportant fact, idea, event, etc. that takes people’s attention away from the important ones","no","P1","no_model","0.0"
"dreamlike_P01_01_1-02.jpg","on the other hand","0.4","hand","1.0","hand","1.0",,"1.0","hand","total",,"dreamlike","1.0","metonymy","body","from a different point of view","no","P1","no_model","4.0"
"GPT_P12_12-19.jpg","red tape","6.1000000000000005","red, tape","2.0","red, tape","2.0","red, tape","2.0","red, tape","total","total","DallE3","1.0","metonymy","object","over excessive or time-consuming rules and bureaucracy that hinder progress","no","P2","GPT","0.0"
"dreamlike_P23_23_15.jpg","at bay","0.2","prey, bay, hunter, predator","4.0","prey, predator","2.0","prey, bay, predator","3.0","bay","none","total","dreamlike","0.75",,"nature","to keep something dangerous at a safe distance","maybe","P7","Llama3","0.0"
"dreamlike_P12_12_3.jpg","on board","1.9","board","1.0","board","1.0","board","1.0","board","total","total","dreamlike","1.0","metaphor","object","as part of a group or team, especially for a special purpose","yes","P2","no_model","0.0"
"dreamlike_P20_20_7.jpg","at stake","0.4","stake, company, job","3.0","stake","1.0","job, company","2.0","stake","total","none","dreamlike","0.6666666666666666","metaphor","object","If something that is valuable is at stake, it is in a situation where it might be lost","no","P4","no_model","3.0"
"GPT_P21_21-24.jpg","blue-collar","8.700000000000001","contractor, project, manufacturing, number, worker, physical, work, office, blue, collar, country","11.0","project, worker, physical, work, blue, collar","6.0","project, manufacturing, worker, physical, work, blue, collar","7.0","blue, collar","total","total","DallE3","0.5454545454545454","metonymy","object","blue-collar workers do physical work, rather than working in offices","yes","P5","GPT","0.0"
"dreamlike_P22_22_13.jpg","black hole","4.6000000000000005","space, light, matter, swirl, darkness, center","6.0","space, light, matter, swirl, darkness, center","6.0","space, light, matter, swirl, darkness, center","6.0","black, hole","none","none","dreamlike","1.0","metaphor","nature","a place in which things are lost never to be seen again","maybe","P6","Llama3","0.0"
"GPT_P01_01-17-02.jpg","scapegoat","8.3","goat","1.0",,"0.0","goat","0.0","goat",,"total","DallE3","0.0","metaphor","animal","to be made to suffer or bear the punishment for someone else","yes","P1","GPT","0.0"
"GPT_P19_19-20.jpg","red flag","5.1000000000000005","red, flag, sign","3.0","red, flag","2.0","red, flag","2.0","red, flag","total","total","DallE3","0.6666666666666666","metaphor","object","a sign that something is not right or something bad may happen","no","P3","GPT","0.0"
"GPT_P21_21-25.jpg","bread and butter","6.0","bread, butter, job, money, person, pension","6.0","bread, butter, job, person","4.0","bread, person","2.0","bread, butter","total","partial","DallE3","0.6666666666666666","metonymy","food","a job or activity that provides you with the money you need to live","maybe","P5","GPT","0.0"
"GPT_P12_12-18.jpg","under fire","6.0","fire","1.0","fire","1.0","fire","1.0","fire","total","total","DallE3","1.0","metaphor","nature","subject to extreme criticism or judgment","yes","P2","GPT","0.0"
"dreamlike_P01_01_44-02.jpg","white elephant","2.6","white, elephant","2.0","white, elephant","2.0","white, elephant","2.0","white, elephant","total","total","dreamlike","1.0","metaphor","animal","an expensive item with no use or purpose","yes","P1","no_model","0.0"
"GPT_P22_22-27.jpg","in hot water","2.7","person, edge, side, steam, hot, tub, bubble","7.0","person, edge, side, steam, hot, tub, bubble","7.0","person, edge, steam, hot, tub, bubble","6.0","hot, water","partial","partial","DallE3","1.0","metaphor","nature","if someone is in hot water, they are in trouble because they have done something wrong","yes","P6","Llama3 + GPT","0.0"
"GPT_P20_20-23.jpg","across the board","3.9","board, industry, investment","3.0","board, industry","2.0","board","1.0","board","total","total","DallE3","0.6666666666666666","metaphor","object","affecting everyone or everything within an organization, system, or society","maybe","P4","GPT","0.0"
"dreamlike_P12_12_46.jpg","Easter egg","3.3000000000000003","egg","1.0","egg","1.0","egg","1.0","egg","total","total","dreamlike","1.0","metaphor","food","a feature that is hidden in video games, websites, software or social media and only unveiled after playing or viewing for a long time","maybe","P2","no_model","0.0"
"GPT_P19_19-21.jpg","upper hand","1.5","upper, hand ","2.0","upper, hand ","2.0","upper, hand","2.0","upper, hand ","total","total","DallE3","1.0","metonymy","body","to get an advantage over somebody so that you are in control of a particular situation","yes","P3","GPT","0.0"
"dreamlike_P19_19_48.jpg","nest egg","0.0","money, nest, egg","3.0","money, nest, egg","3.0","nest, egg","2.0","nest, egg","total","total","dreamlike","0.6666666666666666","metaphor","animal","an amount of money that has been saved, especially for future use","yes","P3","no_model","0.0"
"dreamlike_P21_21_52.jpg","earworm","0.0","song, morning, day, ear, worm","5.0","song, day, morning","3.0","ear","1.0","ear, worm","none","partial","dreamlike","0.2","metaphor","animal","a situation when a song that comes to your mind again and again","yes","P5","no_model","2.0"
"GPT_P23_23-28.jpg","in the bag","7.1000000000000005","bag","1.0","bag","1.0","bag","1.0","bag","total","total","DallE3","1.0","metaphor","object","if something is in the bag, it is almost certain to be won or achieved","no","P7","Llama3 + GPT","4.0"
"dreamlike_P21_21_11.jpg","hand in hand","1.2000000000000002","hand, movie, popcorn, thing, sleep","5.0","movie, popcorn","2.0","hand, popcorn","2.0","hand, hand","none","total","dreamlike","0.4","metaphor","body","in a figurative sense, it is used to indicate that two things accompany, complement, or are concurrent with one another.","no","P5","no_model","2.0"
"GPT_P20_20-22.jpg","in the cards","4.9","promotion, card","2.0","promotion, card","2.0","card","1.0","card","total","total","DallE3","1.0","metonymy","object","Something very likely to happen, occur or take place","no","P4","GPT","1.0"
"dreamlike_P21_21_10.jpg","down the road","2.2","road, end, point, year","4.0","road, end, point","3.0","road, end","2.0","road","total","total","dreamlike","0.5","metaphor","nature","at a future point or end","no","P5","no_model","0.0"
"GPT_P01_01-16-02.jpg","on the ball","5.1000000000000005","ball","1.0",,"0.0","ball","1.0","ball",,"total","DallE3","0.0","metaphor","object","to be aware of and understand what is happening and be able to react quickly","yes","P1","GPT","0.0"
"dreamlike_P12_12_54.jpg","cold turkey","1.6","cold, turkey","2.0","cold, turkey","2.0","cold","1.0","cold, turkey","total","partial","dreamlike","0.5","metaphor","food","an unpleasant physical condition suffered by people who stop taking a drug that they are addicted to","yes","P2","no_model","0.0"
"GPT_P23_23-29.jpg","at the helm","7.800000000000001","person, helm, ship, course","4.0","person, helm, ship","3.0","person, ship, course","3.0","helm","total","none","DallE3","0.75","metaphor","object","in charge of an organization, group of people, etc.","yes","P7","Llama3 + GPT","0.0"
"dreamlike_P19_19_5.jpg","at sea","0.8","sea","1.0","sea","1.0","sea","1.0","sea","total","total","dreamlike","1.0","metaphor","nature","It means to be confused or not understand something at all","yes","P3","no_model","2.0"
"dreamlike_P23_23_14.jpg","old school","3.5","scene, item","2.0","scene, item","2.0","scene, item","2.0","school","none","none","dreamlike","1.0","metaphor","object","old fashioned ideas or approach compared to current trends","no","P7","Llama3","2.0"
"GPT_P22_22-26.jpg","in a nutshell","1.3","small, wooden, shell, hazelnut, scatter, shell, scatter, foliage","8.0","small, wooden, shell, hazelnut, scatter, shell, scatter, foliage","8.0","small, wooden, shell, hazelnut, scatter, foliage","6.0","nutshell","none","none","DallE3","1.0","metaphor","food","used when you are stating the main facts about something in a short clear way","no","P6","Llama3 + GPT","0.0"
"dreamlike_P20_20_50.jpg","lame duck","2.8000000000000003","duck, person, thing, mayor, office","5.0","duck, person, thing, office","4.0","duck, person, mayor, office","4.0","duck","total","total","dreamlike","0.8","metaphor","animal","a person or thing that is disabled, helpless, ineffective, or inefficient","yes","P4","no_model","2.0"
"dreamlike_P01_01_2-02.jpg","on / to hand","0.8","hand","1.0","hand","1.0",,"1.0","hand","total",,"dreamlike","1.0","metonymy","body","present, nearby, close, or easily accessible","no","P1","no_model","0.0"
"dreamlike_P20_20_8.jpg","white paper","2.7","white, paper, week, country, report, subject, plan","7.0","white, paper, report","3.0","white, paper, subject","3.0","white, paper","total","total","dreamlike","0.4285714285714285","metonymy","object","in various countries, a government report on a particular subject giving information and details of future planned laws","yes","P4","no_model","2.0"
"dreamlike_P12_12_4.jpg","in hand","2.6","hand","1.0","hand","1.0","hand","1.0","hand","total","total","dreamlike","1.0","metonymy","body","if you have a particular situation in hand, you are in control of it","no","P2","no_model","0.0"
"dreamlike_P22_22_12.jpg","cup of tea","1.8","warm, steam, cup, tea, lip, element, book, soft, blanket","9.0","warm, steam, cup, book, soft, blanket","6.0","cup, tea, lip, element, soft, blanket","6.0","cup, tea","partial","total","dreamlike","0.6666666666666666","metaphor","object","if it is “your cup of tea” it is something that you prefer","no","P6","Llama3","0.0"
"dreamlike_P19_19_6.jpg","in the can","5.1000000000000005","can, film, material, record","4.0","can, film, material, record","4.0","can","1.0","can","total","total","dreamlike","0.25","metonymy","object","(especially of filmed or recorded material) to be completed and ready for use","no","P3","no_model","2.0"
"dreamlike_P01_01_45-02.jpg","red herring","1.5","red, herring","2.0","red","1.0","red","1.0","red, herring","partial","partial","dreamlike","0.5",,"animal","an unimportant fact, idea, event, etc. that takes people’s attention away from the important ones","no","P1","no_model","0.0"
"dreamlike_P01_01_1-02.jpg","on the other hand","1.5","hand","1.0","hand","1.0",,"1.0","hand","total",,"dreamlike","1.0","metonymy","body","from a different point of view","no","P1","no_model","4.0"
"GPT_P12_12-19.jpg","red tape","7.300000000000001","red, tape","2.0","red, tape","2.0","red, tape","2.0","red, tape","total","total","DallE3","1.0","metonymy","object","over excessive or time-consuming rules and bureaucracy that hinder progress","no","P2","GPT","0.0"
"dreamlike_P23_23_15.jpg","at bay","0.0","prey, bay, hunter, predator","4.0","prey, predator","2.0","prey, bay, predator","3.0","bay","none","total","dreamlike","0.75",,"nature","to keep something dangerous at a safe distance","maybe","P7","Llama3","0.0"
"dreamlike_P12_12_3.jpg","on board","6.0","board","1.0","board","1.0","board","1.0","board","total","total","dreamlike","1.0","metaphor","object","as part of a group or team, especially for a special purpose","yes","P2","no_model","0.0"
"dreamlike_P20_20_7.jpg","at stake","1.6","stake, company, job","3.0","stake","1.0","job, company","2.0","stake","total","none","dreamlike","0.6666666666666666","metaphor","object","If something that is valuable is at stake, it is in a situation where it might be lost","no","P4","no_model","3.0"
"GPT_P21_21-24.jpg","blue-collar","3.5","contractor, project, manufacturing, number, worker, physical, work, office, blue, collar, country","11.0","project, worker, physical, work, blue, collar","6.0","project, manufacturing, worker, physical, work, blue, collar","7.0","blue, collar","total","total","DallE3","0.5454545454545454","metonymy","object","blue-collar workers do physical work, rather than working in offices","yes","P5","GPT","0.0"
"dreamlike_P22_22_13.jpg","black hole","2.1","space, light, matter, swirl, darkness, center","6.0","space, light, matter, swirl, darkness, center","6.0","space, light, matter, swirl, darkness, center","6.0","black, hole","none","none","dreamlike","1.0","metaphor","nature","a place in which things are lost never to be seen again","maybe","P6","Llama3","0.0"
"GPT_P01_01-17-02.jpg","scapegoat","10.0","goat","1.0",,"0.0","goat","0.0","goat",,"total","DallE3","0.0","metaphor","animal","to be made to suffer or bear the punishment for someone else","yes","P1","GPT","0.0"
"GPT_P19_19-20.jpg","red flag","9.0","red, flag, sign","3.0","red, flag","2.0","red, flag","2.0","red, flag","total","total","DallE3","0.6666666666666666","metaphor","object","a sign that something is not right or something bad may happen","no","P3","GPT","0.0"
"GPT_P21_21-25.jpg","bread and butter","6.6000000000000005","bread, butter, job, money, person, pension","6.0","bread, butter, job, person","4.0","bread, person","2.0","bread, butter","total","partial","DallE3","0.6666666666666666","metonymy","food","a job or activity that provides you with the money you need to live","maybe","P5","GPT","0.0"
"GPT_P12_12-18.jpg","under fire","5.2","fire","1.0","fire","1.0","fire","1.0","fire","total","total","DallE3","1.0","metaphor","nature","subject to extreme criticism or judgment","yes","P2","GPT","0.0"
"dreamlike_P01_01_44-02.jpg","white elephant","7.7","white, elephant","2.0","white, elephant","2.0","white, elephant","2.0","white, elephant","total","total","dreamlike","1.0","metaphor","animal","an expensive item with no use or purpose","yes","P1","no_model","0.0"
"GPT_P22_22-27.jpg","in hot water","6.1000000000000005","person, edge, side, steam, hot, tub, bubble","7.0","person, edge, side, steam, hot, tub, bubble","7.0","person, edge, steam, hot, tub, bubble","6.0","hot, water","partial","partial","DallE3","1.0","metaphor","nature","if someone is in hot water, they are in trouble because they have done something wrong","yes","P6","Llama3 + GPT","0.0"
"GPT_P20_20-23.jpg","across the board","4.9","board, industry, investment","3.0","board, industry","2.0","board","1.0","board","total","total","DallE3","0.6666666666666666","metaphor","object","affecting everyone or everything within an organization, system, or society","maybe","P4","GPT","0.0"
"dreamlike_P12_12_46.jpg","Easter egg","2.7","egg","1.0","egg","1.0","egg","1.0","egg","total","total","dreamlike","1.0","metaphor","food","a feature that is hidden in video games, websites, software or social media and only unveiled after playing or viewing for a long time","maybe","P2","no_model","0.0"
"GPT_P19_19-21.jpg","upper hand","3.3000000000000003","upper, hand ","2.0","upper, hand ","2.0","upper, hand","2.0","upper, hand ","total","total","DallE3","1.0","metonymy","body","to get an advantage over somebody so that you are in control of a particular situation","yes","P3","GPT","0.0"
"dreamlike_P19_19_48.jpg","nest egg","1.4","money, nest, egg","3.0","money, nest, egg","3.0","nest, egg","2.0","nest, egg","total","total","dreamlike","0.6666666666666666","metaphor","animal","an amount of money that has been saved, especially for future use","yes","P3","no_model","0.0"
"dreamlike_P21_21_52.jpg","earworm","0.5","song, morning, day, ear, worm","5.0","song, day, morning","3.0","ear","1.0","ear, worm","none","partial","dreamlike","0.2","metaphor","animal","a situation when a song that comes to your mind again and again","yes","P5","no_model","2.0"
"GPT_P23_23-28.jpg","in the bag","7.4","bag","1.0","bag","1.0","bag","1.0","bag","total","total","DallE3","1.0","metaphor","object","if something is in the bag, it is almost certain to be won or achieved","no","P7","Llama3 + GPT","4.0"
"dreamlike_P21_21_11.jpg","hand in hand","1.0","hand, movie, popcorn, thing, sleep","5.0","movie, popcorn","2.0","hand, popcorn","2.0","hand, hand","none","total","dreamlike","0.4","metaphor","body","in a figurative sense, it is used to indicate that two things accompany, complement, or are concurrent with one another.","no","P5","no_model","2.0"
"GPT_P20_20-22.jpg","in the cards","5.9","promotion, card","2.0","promotion, card","2.0","card","1.0","card","total","total","DallE3","1.0","metonymy","object","Something very likely to happen, occur or take place","no","P4","GPT","1.0"
"dreamlike_P21_21_10.jpg","down the road","5.7","road, end, point, year","4.0","road, end, point","3.0","road, end","2.0","road","total","total","dreamlike","0.5","metaphor","nature","at a future point or end","no","P5","no_model","0.0"
"GPT_P01_01-16-02.jpg","on the ball","2.1","ball","1.0",,"0.0","ball","1.0","ball",,"total","DallE3","0.0","metaphor","object","to be aware of and understand what is happening and be able to react quickly","yes","P1","GPT","0.0"
"dreamlike_P12_12_54.jpg","cold turkey","0.1","cold, turkey","2.0","cold, turkey","2.0","cold","1.0","cold, turkey","total","partial","dreamlike","0.5","metaphor","food","an unpleasant physical condition suffered by people who stop taking a drug that they are addicted to","yes","P2","no_model","0.0"
"GPT_P23_23-29.jpg","at the helm","7.800000000000001","person, helm, ship, course","4.0","person, helm, ship","3.0","person, ship, course","3.0","helm","total","none","DallE3","0.75","metaphor","object","in charge of an organization, group of people, etc.","yes","P7","Llama3 + GPT","0.0"
"dreamlike_P19_19_5.jpg","at sea","8.1","sea","1.0","sea","1.0","sea","1.0","sea","total","total","dreamlike","1.0","metaphor","nature","It means to be confused or not understand something at all","yes","P3","no_model","2.0"
"dreamlike_P23_23_14.jpg","old school","1.8","scene, item","2.0","scene, item","2.0","scene, item","2.0","school","none","none","dreamlike","1.0","metaphor","object","old fashioned ideas or approach compared to current trends","no","P7","Llama3","2.0"
"GPT_P22_22-26.jpg","in a nutshell","4.9","small, wooden, shell, hazelnut, scatter, shell, scatter, foliage","8.0","small, wooden, shell, hazelnut, scatter, shell, scatter, foliage","8.0","small, wooden, shell, hazelnut, scatter, foliage","6.0","nutshell","none","none","DallE3","1.0","metaphor","food","used when you are stating the main facts about something in a short clear way","no","P6","Llama3 + GPT","0.0"
"dreamlike_P20_20_50.jpg","lame duck","0.3","duck, person, thing, mayor, office","5.0","duck, person, thing, office","4.0","duck, person, mayor, office","4.0","duck","total","total","dreamlike","0.8","metaphor","animal","a person or thing that is disabled, helpless, ineffective, or inefficient","yes","P4","no_model","2.0"
"dreamlike_P01_01_2-02.jpg","on / to hand","0.2","hand","1.0","hand","1.0",,"1.0","hand","total",,"dreamlike","1.0","metonymy","body","present, nearby, close, or easily accessible","no","P1","no_model","0.0"
"dreamlike_P20_20_8.jpg","white paper","0.3","white, paper, week, country, report, subject, plan","7.0","white, paper, report","3.0","white, paper, subject","3.0","white, paper","total","total","dreamlike","0.4285714285714285","metonymy","object","in various countries, a government report on a particular subject giving information and details of future planned laws","yes","P4","no_model","2.0"
"dreamlike_P12_12_4.jpg","in hand","1.1","hand","1.0","hand","1.0","hand","1.0","hand","total","total","dreamlike","1.0","metonymy","body","if you have a particular situation in hand, you are in control of it","no","P2","no_model","0.0"
"dreamlike_P22_22_12.jpg","cup of tea","8.0","warm, steam, cup, tea, lip, element, book, soft, blanket","9.0","warm, steam, cup, book, soft, blanket","6.0","cup, tea, lip, element, soft, blanket","6.0","cup, tea","partial","total","dreamlike","0.6666666666666666","metaphor","object","if it is “your cup of tea” it is something that you prefer","no","P6","Llama3","0.0"
"dreamlike_P19_19_6.jpg","in the can","5.9","can, film, material, record","4.0","can, film, material, record","4.0","can","1.0","can","total","total","dreamlike","0.25","metonymy","object","(especially of filmed or recorded material) to be completed and ready for use","no","P3","no_model","2.0"
"dreamlike_P01_01_45-02.jpg","red herring","0.1","red, herring","2.0","red","1.0","red","1.0","red, herring","partial","partial","dreamlike","0.5",,"animal","an unimportant fact, idea, event, etc. that takes people’s attention away from the important ones","no","P1","no_model","0.0"
"dreamlike_P01_01_1-02.jpg","on the other hand","0.1","hand","1.0","hand","1.0",,"1.0","hand","total",,"dreamlike","1.0","metonymy","body","from a different point of view","no","P1","no_model","4.0"
"GPT_P12_12-19.jpg","red tape","8.5","red, tape","2.0","red, tape","2.0","red, tape","2.0","red, tape","total","total","DallE3","1.0","metonymy","object","over excessive or time-consuming rules and bureaucracy that hinder progress","no","P2","GPT","0.0"
"dreamlike_P23_23_15.jpg","at bay","0.2","prey, bay, hunter, predator","4.0","prey, predator","2.0","prey, bay, predator","3.0","bay","none","total","dreamlike","0.75",,"nature","to keep something dangerous at a safe distance","maybe","P7","Llama3","0.0"
"dreamlike_P12_12_3.jpg","on board","5.2","board","1.0","board","1.0","board","1.0","board","total","total","dreamlike","1.0","metaphor","object","as part of a group or team, especially for a special purpose","yes","P2","no_model","0.0"
"dreamlike_P20_20_7.jpg","at stake","0.1","stake, company, job","3.0","stake","1.0","job, company","2.0","stake","total","none","dreamlike","0.6666666666666666","metaphor","object","If something that is valuable is at stake, it is in a situation where it might be lost","no","P4","no_model","3.0"
"GPT_P21_21-24.jpg","blue-collar","2.9000000000000004","contractor, project, manufacturing, number, worker, physical, work, office, blue, collar, country","11.0","project, worker, physical, work, blue, collar","6.0","project, manufacturing, worker, physical, work, blue, collar","7.0","blue, collar","total","total","DallE3","0.5454545454545454","metonymy","object","blue-collar workers do physical work, rather than working in offices","yes","P5","GPT","0.0"
"dreamlike_P22_22_13.jpg","black hole","2.2","space, light, matter, swirl, darkness, center","6.0","space, light, matter, swirl, darkness, center","6.0","space, light, matter, swirl, darkness, center","6.0","black, hole","none","none","dreamlike","1.0","metaphor","nature","a place in which things are lost never to be seen again","maybe","P6","Llama3","0.0"
"GPT_P01_01-17-02.jpg","scapegoat","7.9","goat","1.0",,"0.0","goat","0.0","goat",,"total","DallE3","0.0","metaphor","animal","to be made to suffer or bear the punishment for someone else","yes","P1","GPT","0.0"
"GPT_P19_19-20.jpg","red flag","8.4","red, flag, sign","3.0","red, flag","2.0","red, flag","2.0","red, flag","total","total","DallE3","0.6666666666666666","metaphor","object","a sign that something is not right or something bad may happen","no","P3","GPT","0.0"
"GPT_P21_21-25.jpg","bread and butter","6.6000000000000005","bread, butter, job, money, person, pension","6.0","bread, butter, job, person","4.0","bread, person","2.0","bread, butter","total","partial","DallE3","0.6666666666666666","metonymy","food","a job or activity that provides you with the money you need to live","maybe","P5","GPT","0.0"
"GPT_P12_12-18.jpg","under fire","6.1000000000000005","fire","1.0","fire","1.0","fire","1.0","fire","total","total","DallE3","1.0","metaphor","nature","subject to extreme criticism or judgment","yes","P2","GPT","0.0"
"dreamlike_P01_01_44-02.jpg","white elephant","1.7000000000000002","white, elephant","2.0","white, elephant","2.0","white, elephant","2.0","white, elephant","total","total","dreamlike","1.0","metaphor","animal","an expensive item with no use or purpose","yes","P1","no_model","0.0"
"GPT_P22_22-27.jpg","in hot water","4.9","person, edge, side, steam, hot, tub, bubble","7.0","person, edge, side, steam, hot, tub, bubble","7.0","person, edge, steam, hot, tub, bubble","6.0","hot, water","partial","partial","DallE3","1.0","metaphor","nature","if someone is in hot water, they are in trouble because they have done something wrong","yes","P6","Llama3 + GPT","0.0"
"GPT_P20_20-23.jpg","across the board","1.8","board, industry, investment","3.0","board, industry","2.0","board","1.0","board","total","total","DallE3","0.6666666666666666","metaphor","object","affecting everyone or everything within an organization, system, or society","maybe","P4","GPT","0.0"
"dreamlike_P12_12_46.jpg","Easter egg","2.0","egg","1.0","egg","1.0","egg","1.0","egg","total","total","dreamlike","1.0","metaphor","food","a feature that is hidden in video games, websites, software or social media and only unveiled after playing or viewing for a long time","maybe","P2","no_model","0.0"
"dreamlike_P20_20_11.jpg","hand in hand","0.0","hand, movie, popcorn, thing","4.0","hand","1.0","hand, popcorn","2.0","hand, hand","total","total","dreamlike","0.5","metaphor","body","in a figurative sense, it is used to indicate that two things accompany, complement, or are concurrent with one another.","no","P4","no_model","2.0"
"dreamlike_P19_19_8.jpg","white paper","0.0","white, paper, country, report","4.0","white, paper, report","3.0","white","1.0","white, paper","total","partial","dreamlike","0.25","metonymy","object","in various countries, a government report on a particular subject giving information and details of future planned laws","yes","P3","no_model","2.0"
"dreamlike_P23_23_17.jpg","scapegoat","0.2","goat, person, weight","3.0","person, weight","2.0","goat","1.0","goat","none","total","dreamlike","0.3333333333333333","metaphor","animal","to be made to suffer or bear the punishment for someone else","yes","P7","Llama3","2.0"
"dreamlike_P22_22_2.jpg","on / to hand","7.1000000000000005","chef, bake, bread, customer","4.0","chef, bake, bread","3.0","chef, bake, bread","3.0","hand","none","none","dreamlike","0.75","metonymy","body","present, nearby, close, or easily accessible","no","P6","Llama3","0.0"
